ProjNum,Date,Hours,Stage,Complete?
501,10/4/10,2,2,0
498,11/3/10,2.5,3,0
498,9/24/10,1.75,1,0
506,10/25/10,,4,1
470,9/1/10,1.25,2,0
512,11/3/10,1,3,0
489,9/6/10,1.25,2,0
505,10/29/10,2.75,3,0
488,9/29/10,2,3,0
504,10/21/10,1.25,2,0
496,9/22/10,0.75,2,0
488,9/2/10,1.75,1,0
487,9/6/10,0.5,2,0
497,9/30/10,1.25,4,1
509,11/3/10,2.5,3,0
498,10/6/10,2,2,0
481,9/9/10,2.5,4,0
481,9/8/10,0.75,3,0
470,9/6/10,2,3,0
502,10/8/10,0.75,5,0
499,9/30/10,1.25,2,0
509,11/4/10,1.5,3,0
496,10/6/10,3,3,0
504,10/28/10,0.75,3,0
486,9/3/10,0.75,2,0
505,10/27/10,0.75,2,0
488,9/14/10,0.75,2,0
481,9/7/10,3,3,0
490,9/13/10,1.75,3,0
501,10/6/10,2.5,,0
488,9/20/10,1.5,2,0
481,9/13/10,1,4,1
481,9/2/10,3,3,0
501,10/13/10,2.5,4,0
498,11/4/10,1.25,3,0
486,9/2/10,0.75,2,0
489,9/10/10,2.5,3,0
470,9/20/10,1.75,4,1
496,10/15/10,2,4,1
500,10/4/10,0.75,4,1
486,9/6/10,3,3,0
506,10/22/10,1,3,0
494,9/21/10,0.75,4,1
509,11/2/10,1.75,3,0
499,9/27/10,1.75,2,0
490,9/15/10,2.25,4,1
502,10/5/10,1,1,0
501,10/1/10,1.75,1,0
511,10/29/10,0.75,2,0
488,10/4/10,1,3,0
490,9/14/10,1,4,0
488,9/28/10,1.75,3,0
506,10/20/10,1,3,0
511,11/4/10,1.75,2,0
508,10/22/10,1,1,0
496,9/29/10,3,3,0
507,10/26/10,1,3,0
500,9/29/10,0.75,2,0
495,9/20/10,0.75,2,0
499,10/1/10,2.5,3,0
504,10/18/10,2,2,0
512,11/1/10,0.75,2,0
498,11/1/10,1.75,3,0
497,9/23/10,0.75,1,0
489,9/9/10,2.25,3,0
508,10/29/10,1,4,1
509,10/26/10,1.5,2,0
489,9/8/10,2,2,0
482,9/6/10,0.75,4,1
493,9/15/10,0.75,2,0
498,9/29/10,2,2,0
512,10/29/10,1,1,0
495,9/17/10,0.75,4,0
496,10/4/10,1.25,3,0
498,10/13/10,1.75,2,0
502,10/6/10,0.75,2,0
488,9/27/10,0.75,3,0
485,9/6/10,0.75,4,1
496,10/8/10,1.25,3,0
486,9/13/10,0.75,5,1
509,11/1/10,0.75,2,0
510,10/26/10,0.75,2,0
514,11/4/10,0.75,4,1
497,9/28/10,0.75,3,0
458,9/1/10,1.5,4,1
507,10/25/10,1.25,2,0
508,10/27/10,0.75,3,0
488,10/8/10,1.75,4,0
495,9/21/10,1,4,1
488,9/16/10,1,2,0
501,10/8/10,2,4,0
510,11/1/10,1,4,1
504,10/22/10,1,3,0
503,10/13/10,0.75,5,0
505,10/18/10,1.5,1,0
488,9/13/10,1.5,2,0
507,10/28/10,1.25,4,1
507,10/27/10,0.75,5,0
470,9/10/10,2,3,0
485,9/2/10,0.75,3,0
504,10/29/10,2.75,3,0
490,9/7/10,2,2,0
489,9/15/10,1,5,1
513,10/29/10,,1,0
488,10/14/10,1.5,4,1
481,9/6/10,1.75,3,0
498,10/21/10,1.25,5,0
514,11/2/10,0.75,1,0
494,9/20/10,0.75,3,0
498,10/4/10,1.5,2,0
504,11/1/10,2.25,3,0
490,9/9/10,1.75,2,0
510,10/28/10,0.75,3,0
493,9/20/10,2,3,0
503,10/7/10,0.75,1,0
490,9/10/10,0.75,2,0
493,9/13/10,0.75,1,0
497,9/27/10,0.75,3,0
499,9/29/10,1.75,2,0
494,9/16/10,1,3,0
